Entity,Code,Year,Average hours worked per person employed
Italy,ITA,1977,1871.481378
Italy,ITA,1978,1861.508467
Italy,ITA,1979,1854.965525
Italy,ITA,1980,1856.018516
Italy,ITA,1981,1862.2954
Italy,ITA,1982,1873.700659
Italy,ITA,1983,1872.973658
Italy,ITA,1984,1862.60847
Italy,ITA,1985,1859.109608
Italy,ITA,1986,1867.544975
Italy,ITA,1987,1886.670322
Italy,ITA,1988,1890.335579
Italy,ITA,1989,1874.471642
Italy,ITA,1990,1863.761201
Italy,ITA,1991,1856.811527
Italy,ITA,1992,1859.972413
Italy,ITA,1993,1859.835609
Italy,ITA,1994,1853.755613
Italy,ITA,1995,1856.086806
Italy,ITA,1996,1866.12719
Italy,ITA,1997,1860.113097
Italy,ITA,1998,1873.785704
Italy,ITA,1999,1870.357203
Italy,ITA,2000,1850.806167
Italy,ITA,2001,1837.760562
Italy,ITA,2002,1826.593722
Italy,ITA,2003,1815.797365
Italy,ITA,2004,1815.341602
Italy,ITA,2005,1812.055115
Italy,ITA,2006,1812.582313
Italy,ITA,2007,1818.152592
Italy,ITA,2008,1807.031898
Italy,ITA,2009,1775.66115
Italy,ITA,2010,1777.273649
Italy,ITA,2011,1773.256409
Italy,ITA,2012,1734.174716
Italy,ITA,2013,1719.507499
Italy,ITA,2014,1717.137234
Italy,ITA,2015,1717.99591
Italy,ITA,2016,1725.133296
Spain,ESP,1970,2045.93375
Spain,ESP,1971,2041.658435
Spain,ESP,1972,2037.586754
Spain,ESP,1973,2033.511264
Spain,ESP,1974,2029.445226
Spain,ESP,1975,2025.387118
Spain,ESP,1976,2021.324254
Spain,ESP,1977,2017.225554
Spain,ESP,1978,1986.511413
Spain,ESP,1979,1935.981696
Spain,ESP,1980,1918.147678
Spain,ESP,1981,1884.4612
Spain,ESP,1982,1862.664068
Spain,ESP,1983,1830.959147
Spain,ESP,1984,1786.374103
Spain,ESP,1985,1776.466316
Spain,ESP,1986,1768.540086
Spain,ESP,1987,1760.613856
Spain,ESP,1988,1756.65074
Spain,ESP,1989,1744.761395
Spain,ESP,1990,1746.742953
Spain,ESP,1991,1755.659962
Spain,ESP,1992,1747.733732
Spain,ESP,1993,1739.807502
Spain,ESP,1994,1738.816723
Spain,ESP,1995,1738.816723
Spain,ESP,1996,1740.202565
Spain,ESP,1997,1742.493874
Spain,ESP,1998,1750.964244
Spain,ESP,1999,1756.053431
Spain,ESP,2000,1752.755138
Spain,ESP,2001,1762.500029
Spain,ESP,2002,1764.573982
Spain,ESP,2003,1755.938857
Spain,ESP,2004,1741.506898
Spain,ESP,2005,1725.600586
Spain,ESP,2006,1715.65563
Spain,ESP,2007,1703.487825
Spain,ESP,2008,1712.552323
Spain,ESP,2009,1719.674035
Spain,ESP,2010,1710.395733
Spain,ESP,2011,1715.510844
Spain,ESP,2012,1701.19645
Spain,ESP,2013,1693.533779
Spain,ESP,2014,1694.58252
Spain,ESP,2015,1699.502843
Spain,ESP,2016,1701.364221
United States,USA,1970,1857.165016
United States,USA,1971,1841.897605
United States,USA,1972,1839.835233
United States,USA,1973,1838.624964
United States,USA,1974,1811.706992
United States,USA,1975,1780.419887
United States,USA,1976,1776.198121
United States,USA,1977,1776.612935
United States,USA,1978,1784.880898
United States,USA,1979,1783.583618
United States,USA,1980,1769.805307
United States,USA,1981,1753.386688
United States,USA,1982,1740.436908
United States,USA,1983,1748.848757
United States,USA,1984,1765.527518
United States,USA,1985,1770.050911
United States,USA,1986,1751.3376
United States,USA,1987,1754.041478
United States,USA,1988,1768.261982
United States,USA,1989,1781.560294
United States,USA,1990,1764.238538
United States,USA,1991,1755.874339
United States,USA,1992,1748.544292
United States,USA,1993,1766.763507
United States,USA,1994,1784.099168
United States,USA,1995,1803.066341
United States,USA,1996,1801.52785
United States,USA,1997,1815.677885
United States,USA,1998,1829.637104
United States,USA,1999,1834.996575
United States,USA,2000,1813.40758
United States,USA,2001,1790.808924
United States,USA,2002,1777.345523
United States,USA,2003,1757.45981
United States,USA,2004,1759.318777
United States,USA,2005,1753.257397
United States,USA,2006,1752.805465
United States,USA,2007,1747.300988
United States,USA,2008,1736.607899
United States,USA,2009,1703.93085
United States,USA,2010,1709.164981
United States,USA,2011,1723.194756
United States,USA,2012,1726.169257
United States,USA,2013,1734.049321
United States,USA,2014,1741.019305
United States,USA,2015,1748.615894
United States,USA,2016,1741.512898
